Item_Weight,Item_Visibility,Item_MRP,Item_Outlet_Sales,Outlet_Years,Item_Fat_Content_1,Item_Fat_Content_2,Outlet_Location_Type_1,Outlet_Location_Type_2,Outlet_Size_1,Outlet_Size_2,Outlet_Type_1,Outlet_Type_2,Outlet_Type_3,Item_Type_Combined_1,Item_Type_Combined_2,Outlet_1,Outlet_2,Outlet_3,Outlet_4,Outlet_5,Outlet_6,Outlet_7,Outlet_8,Outlet_9
19.6,0.9315179184271948,55.1614,1381.535,11,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0
19.7,0.9294568248579793,57.893,622.523,9,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0
9.8,0.9988808191929445,114.5492,1274.3412,9,1,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0
7.93,1.6626731919645845,120.0414,487.3656,28,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0
12.15,0.8760887632599259,246.046,1231.73,14,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
8.75,1.0139005933372311,187.4556,3755.112,9,0,1,1,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0
12.150000000000002,0.9178236759482314,149.9708,4363.6532,28,1,0,0,1,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0
8.75,1.0140923445604086,187.8556,1314.2892,16,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0
13.3,0.9241603474535889,151.0708,1805.6496,11,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0
20.599999999999998,0.928507460655053,178.5344,2854.9504,28,0,1,0,1,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0
8.31,1.0163708730830927,179.1028,3896.2616,14,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
16.75,0.9322695631328209,38.7822,667.7974,26,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
19.75,0.878292065399008,212.0902,3185.853,4,0,0,0,1,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0
17.1,0.8740008565954392,141.1838,2247.7408,26,0,1,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0
10.5,0.9242793113988634,163.121,1794.3310000000001,26,0,1,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0
6.635,0.8181818181818182,121.3098,2530.7058,11,0,1,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0
9.394999999999998,1.6148105888188795,225.372,679.1160000000001,28,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
14.15,0.938241400037113,41.4138,812.2760000000001,26,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
13.3,0.9990697472460142,232.53,699.09,16,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0
8.89,0.8796765744587313,102.4016,2732.4432,6,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0
6.6899999999999995,1.7376946555050123,176.937,176.437,28,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0
6.195,0.9942317071612333,121.7098,4097.3332,28,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0
9.1,0.888888888888889,173.2054,3151.8972,11,0,1,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0
7.5,0.8727739383621285,239.0906,5942.265,14,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
16.85,0.8767064446129034,192.4478,4843.695,6,0,1,1,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0
7.485,0.9988808423019978,109.0228,2542.0244,9,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0
11.6,0.9643049356473631,140.3154,2552.6772,6,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0
11.65,0.8782920723575603,227.0694,1141.847,4,0,0,0,1,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0
13.0,0.8796766231887589,47.5034,680.4476,6,1,0,1,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0
12.65,0.9315179229166382,159.0578,2085.9514,11,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0
20.25,1.5717317089480713,92.512,186.424,15,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
8.6,0.92414905794275,190.153,3036.048,9,0,1,1,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0
12.6,0.9348909916042781,62.7194,866.8716,6,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0
17.7,0.9603681061035344,95.041,868.8689999999999,9,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0
14.15,0.9990697492376226,82.4276,1137.1864,16,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0
19.25,0.8796766148142436,52.7956,928.1252,6,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0
8.88,0.9327072147064805,151.7682,762.341,26,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
20.5,1.0010958955480702,40.2822,707.0796,11,1,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0
12.0,1.0101030662789034,180.5976,7968.2944,28,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0
13.5,0.862651744964282,160.292,1438.128,16,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0
12.150000000000002,0.8675537170348699,224.4404,6976.2524,28,1,0,0,1,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0
8.89,1.464116661542459,101.7016,101.2016,15,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
7.855,0.926046942176665,188.5188,952.0939999999999,4,0,0,0,1,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0
7.235,0.9296326048503732,116.0492,1969.4364,16,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0
18.25,0.9287446507090745,165.4526,5262.4832,28,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0
6.92,1.001095885421211,60.5852,1314.2892,11,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0
9.3,0.9275067689403469,90.8172,535.3032,6,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0
18.5,1.4641166640747971,132.1284,263.6568,15,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
8.02,0.871200626611771,154.5972,1402.1748,9,1,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0
9.195,0.9348909809950855,105.1622,1693.7952,6,1,0,1,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0
12.8,0.8765027636722214,105.5938,2143.876,11,1,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0
16.6,0.9310779320436928,177.6344,2676.5159999999996,14,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1
14.0,0.909090909090909,53.06399999999999,905.488,9,0,1,1,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0
18.6,0.9310779430846443,246.3802,7370.406,14,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
16.0,0.9294568219899721,226.8404,6301.1312,9,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0
17.6,0.929456818503636,160.692,1597.92,9,1,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0
21.25,1.0154208988255191,178.237,529.311,9,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0
7.235,0.9294568161541141,117.5492,1969.4364,9,1,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0
14.6,0.9348909874937066,50.3692,1034.6532,6,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0
13.85,0.9334195337935713,161.52100000000002,1794.3310000000001,4,0,1,0,1,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0
13.65,0.8782920695301611,197.6426,2768.3964,4,0,1,0,1,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0
9.5,1.0066596098528127,31.29,898.83,28,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
7.365,0.9222899096810624,226.172,3169.208,16,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0
18.35,1.0031395315671328,223.5746,3589.9936,4,1,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0
5.465,0.7272727272727273,132.5626,262.3252,4,0,1,0,1,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0
18.6,0.9275067616421127,99.8358,1910.1802,6,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0
13.85,0.8796766065967719,140.9154,1701.7848,6,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0
14.0,0.8710498593152382,154.5656,2471.4496,26,0,1,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0
14.0,0.870709733834337,54.763999999999996,1331.6,26,0,1,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0
21.349999999999998,0.8704928811879857,97.0094,1808.9786,28,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0
5.905,0.9288173729669328,222.5456,3315.684,4,0,0,0,1,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0
7.27,0.9222899205805942,114.2518,2618.5914,16,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0
6.155,0.9296326010221122,214.55599999999998,2769.728,16,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0
19.5,0.8763641072834327,233.4958,5375.0034,6,0,1,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0
15.2,0.8796766086282274,216.8824,2838.9712,6,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0
12.15,1.0029791841441567,125.0046,1743.0644,4,0,1,0,1,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0
14.599999999999998,0.8588781859041476,198.8084,5555.4352,28,1,0,0,1,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0
12.6,0.9334195363385649,61.9194,619.194,4,0,0,0,1,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0
14.5,0.8745633861423519,164.821,2120.573,9,1,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0
16.6,0.9300661617477183,173.0738,3823.0236,6,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0
11.8,0.9242293566858496,151.4366,1360.2294,26,0,1,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0
13.1,1.0501883693238891,178.8318,3969.4996,26,0,1,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0
17.7,1.4797657517933827,115.1834,345.5502,15,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
17.85,0.909090909090909,196.5794,585.2382,15,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
12.3,0.8765027642551428,92.6804,1010.6844,11,0,1,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0
11.8,1.556014400369685,81.4618,161.1236,15,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
9.394999999999998,1.614810591823397,42.1112,42.6112,28,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
11.1,0.9620429213503374,157.4604,3010.7476,11,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0
14.0,0.867553715903123,153.0656,6024.1584,28,0,1,0,1,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0
11.3,1.0136095176709474,198.1426,988.7130000000001,11,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0
10.0,1.66158138729929,117.944,239.688,28,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0
5.75,1.0145384230931491,112.8176,1374.2112,26,0,1,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0
6.215,0.9344755748620249,226.8062,4739.8302,28,0,1,0,1,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0
11.35,0.9529708288112344,100.0016,1012.0160000000001,4,0,1,0,1,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0
11.099999999999998,1.5263660654326803,165.7526,657.8104,28,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0
14.0,0.8760887780212523,130.431,778.9860000000001,14,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1
19.75,0.9349382553015971,179.766,2336.958,11,0,1,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0
6.525,0.9237238358273694,85.0882,2233.0932,14,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1
10.3,0.9237238319507569,103.9648,1661.8368,14,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
5.78,0.8732632545533564,264.7568,4745.8224,14,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
11.85,0.9266904971470528,164.1526,3124.5994,11,0,1,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0
16.35,0.8782920556602148,50.1324,467.3916,4,0,0,0,1,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0
17.599999999999998,0.8704929095813484,182.5976,5070.7328,28,1,0,0,1,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0
10.5,0.9296325980403759,37.6164,540.6296,16,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0
19.0,0.8747287957135111,48.0718,992.7078,16,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0
14.6,0.9344762885152377,238.8538,6008.845,14,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1
15.599999999999998,0.9207846271350993,62.9194,2105.2596,28,0,1,0,1,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0
4.615000000000001,0.9946778264859069,232.63,5359.69,28,0,1,0,1,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0
18.75,0.9315179299020399,104.62799999999999,745.696,11,1,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0
5.26,0.8708658809596567,161.8868,3275.736,9,0,1,1,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0
18.25,0.9241603485727962,140.2154,1701.7848,11,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0
10.299999999999999,0.9178236833668947,177.937,6704.606,28,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0
15.1,0.9265119554752591,242.7512,4119.9704,16,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0
